"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","UNEMP","15_24","PC_LF","M","2014-11",23.9,
"EA19","UNEMP","15_24","PC_LF","M","2014-12",23.5,
"EA19","UNEMP","15_24","PC_LF","M","2015-01",23.4,
"EA19","UNEMP","15_24","PC_LF","M","2015-02",23.4,
"EA19","UNEMP","15_24","PC_LF","M","2015-03",23.2,
"EA19","UNEMP","15_24","PC_LF","M","2015-04",23,
"EA19","UNEMP","15_24","PC_LF","M","2015-05",22.8,
"EA19","UNEMP","15_24","PC_LF","M","2015-06",22.9,
"EA19","UNEMP","15_24","PC_LF","M","2015-07",22.6,
"EA19","UNEMP","15_24","PC_LF","M","2015-08",22.7,
"EA19","UNEMP","15_24","PC_LF","M","2015-09",22.7,
"EA19","UNEMP","15_24","PC_LF","M","2015-10",22.9,
"EA19","UNEMP","15_24","PC_LF","M","2015-11",22.4,
"EA19","UNEMP","15_24","PC_LF","M","2015-12",22.3,
"EA19","UNEMP","15_24","PC_LF","M","2016-01",22.1,
"EA19","UNEMP","15_24","PC_LF","M","2016-02",22.2,
"EA19","UNEMP","15_24","PC_LF","M","2016-03",21.7,
"EA19","UNEMP","15_24","PC_LF","M","2016-04",21.7,
"EA19","UNEMP","15_24","PC_LF","M","2016-05",21.5,
"EA19","UNEMP","15_24","PC_LF","M","2016-06",21.3,
"EA19","UNEMP","15_24","PC_LF","M","2016-07",21.3,
"EA19","UNEMP","15_24","PC_LF","M","2016-08",21,
"EA19","UNEMP","15_24","PC_LF","M","2016-09",21.1,
"EA19","UNEMP","15_24","PC_LF","M","2016-10",20.8,
"EA19","UNEMP","15_24","PC_LF","M","2016-11",21.2,
"EA19","UNEMP","15_24","PC_LF","M","2016-12",20.6,
"EA19","UNEMP","15_24","PC_LF","M","2017-01",20.3,
"EA19","UNEMP","15_24","PC_LF","M","2017-02",19.9,
"EA19","UNEMP","15_24","PC_LF","M","2017-03",19.9,
"EA19","UNEMP","15_24","PC_LF","M","2017-04",19.7,
"EA19","UNEMP","15_24","PC_LF","M","2017-05",19.8,
"EA19","UNEMP","15_24","PC_LF","M","2017-06",19.3,
"EA19","UNEMP","15_24","PC_LF","M","2017-07",18.9,
"EA19","UNEMP","15_24","PC_LF","M","2017-08",18.8,
"EA19","UNEMP","15_24","PC_LF","M","2017-09",18.8,
"EA19","UNEMP","15_24","PC_LF","M","2017-10",18.6,
"EA19","UNEMP","15_24","PC_LF","M","2017-11",18.6,
"EA19","UNEMP","15_24","PC_LF","M","2017-12",18.4,
"EA19","UNEMP","15_24","PC_LF","M","2018-01",18.3,
"EA19","UNEMP","15_24","PC_LF","M","2018-02",18.3,
"EA19","UNEMP","15_24","PC_LF","M","2018-03",18,
"EA19","UNEMP","15_24","PC_LF","M","2018-04",17.7,
"EA19","UNEMP","15_24","PC_LF","M","2018-05",17.4,
"EA19","UNEMP","15_24","PC_LF","M","2018-06",17.4,
"EA19","UNEMP","15_24","PC_LF","M","2018-07",17.2,
"EA19","UNEMP","15_24","PC_LF","M","2018-08",17.3,
"EA19","UNEMP","15_24","PC_LF","M","2018-09",17.3,
"EA19","UNEMP","15_24","PC_LF","M","2018-10",17.3,
"EA19","UNEMP","15_24","PC_LF","M","2018-11",16.8,
"EA19","UNEMP","15_24","PC_LF","M","2018-12",16.7,
